Товарная группа;Артикул;Наименование товара;Цена;Ссылка на детальную страницу
Антистатики, кондиционеры для тканей;YPL-61001;Антистатик   300мл YPLON для одежды аэрозоль   ''YPLON''   1/12;147.91;http://almin.ru/goods/antistatik-300ml-yplon-dlya-odezhdy-aerozol-yplon-1-12/
Антистатики, кондиционеры для тканей;БХ-82005;Кондиционер концентрированный   1л для белья VERNEL ЛЕТНЕЕ УТРО   ''HENKEL''   1/12;206.87;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-vernel-letnee-utro-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-81980;Кондиционер концентрированный   1л для белья VERNEL СВЕЖИЙ БРИЗ   ''HENKEL''   1/12;206.87;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-vernel-svezhiy-briz-henkel-1-12/
Антистатики, кондиционеры для тканей;PG-2321;Кондиционер   1л для белья LENOR СКАНДИНАВСКАЯ ВЕСНА   ''P&G''   1/12;132.48;http://almin.ru/goods/konditsioner-1l-dlya-belya-lenor-skandinavskaya-vesna-pg-1-12/
Антистатики, кондиционеры для тканей;PG-4333;Кондиционер   2л для белья LENOR СКАНДИНАВСКАЯ ВЕСНА   ''P&G''   1/8;243.14;http://almin.ru/goods/konditsioner-2l-dlya-belya-lenor-skandinavskaya-vesna-pg-1-8/
Антистатики, кондиционеры для тканей;PG-37879а;Кондиционер концентрированный   1л для белья LENOR АЛЬПИЙСКИЕ ЛУГА   ''P&G''   1/12;203.52;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-lenor-alpiyskie-luga-pg-1-12/
Антистатики, кондиционеры для тканей;PG-17040;Кондиционер концентрированный   1л для белья LENOR ЛЕТНИЙ ДЕНЬ   ''P&G''   1/12;203.52;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-lenor-letniy-den-pg-1-12/
Антистатики, кондиционеры для тканей;PG-37883а;Кондиционер концентрированный   1л для белья LENOR СКАНДИНАВСКАЯ ВЕСНА   ''P&G''   1/12;203.52;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-lenor-skandinavskaya-vesna-pg-1-12/
Антистатики, кондиционеры для тканей;PG-12837;Кондиционер концентрированный   2л для белья LENOR СКАНДИНАВСКАЯ ВЕСНА   ''P&G''   1/6;343.82;http://almin.ru/goods/konditsioner-kontsentrirovannyy-2l-dlya-belya-lenor-skandinavskaya-vesna-pg-1-6/
Антистатики, кондиционеры для тканей;БХ-900813;Кондиционер концентрированный   2л для белья VERNEL ЛЕТНЕЕ УТРО   ''HENKEL''   1/8;347.73;http://almin.ru/goods/konditsioner-kontsentrirovannyy-2l-dlya-belya-vernel-letnee-utro-henkel-1-8/
